Portfolio,Group,Div,District,Store,Reason,Brand,Product,Product Desc,Vendor Date/Code,UPC (free form UPC),Item,Case ID,Rcv Date,Text
GROC FF,FROZ CAKE PIE,GM,DIST 143,6262,OOS SALE,FOODHOLD,,,,,PIES,2032791,05/29/2019 8:25:52,"CUSTOMER COMMENTS:  Marie Calendar pies are on sale $4.99 and so are the giant, $5. I stopped two mornings on my way to work to get either brand flavor lemon meringue. Neither are in stock. I asked this morning for a rain check. Because I am shopping at 6:45 am no one can issue one. This is ridiculous. With my busy schedule regardless of what time i shop the items should be in stick or i should be able to get a rain check. Please mail me a rain check for the marie calendar lemon meringue pie. 
"
GROC FF,FROZ IC,SS,DIST 322,610,PKG ERROR,LTO,,,best before april 1 2020,8826719763,ICE CREAM SANDWICH,2031543,05/27/2019 14:55:17,"Instead of 12 LIMONCELLO ICE CREAM SANDWICH, there were10"
GROC FF,FROZ IC,GM,DIST GM 0,0000 GM,QL FEW MISS INGR,LTO,,,,8826719759,CREAM ICE REAL PREMIUM LIMONCELLO,2033167,05/29/2019 10:48:32,Customer requested to know if the graham cracker swirl was removed from the ice cream.  Customer states they could not find any.  Customer states they could not find the date code but above the barcode is F-3620917.
GROC FF,FROZ IC,GM,DIST 145,6029,QL FEW MISS INGR,FOODHOLD,,,,6 88267 11459 2,CREAM ICE MINT CHOCOLATE CHIP,2033888,05/29/2019 22:20:25,"CUSTOMER COMMENTS:  This is the second container of this ice cream that I have bought from this location in the past month that has little to no chocolate chips in it at all. This is my favorite, mainly because of the amount of chocolate chips that it normally has but I've been disappointed with these last two containers. 
"
GROC FF,FROZ IC,SS,DIST SS 0,0000 SS,QL TASTE,FOODHOLD,068826704842-SSNE,Sb Rainbw Sherbt 32Oz.,,68826704842,CREAM ICE SHERBERT,2033199,05/29/2019 11:20:46,I purchase this sherbert a lot and this time it seems like the sugar is missing sugar because it tastes tart.
GROC FF,FROZ MEALS,GF,DIST GF 0,0000 GF,PKG DIRECTS,NATURES PROMISE,068826706197-GL,Np Stuf Shels 170Z,,68826706197,STUFFED SHELLS,2032285,05/28/2019 13:38:08,NP frozen stuffed shells.  the directions for baking are confusing.  It says put them in the dish open side down......won't all the stuffing come out.?
GROC FF,FROZ MEALS,GM,DIST 131,6095,PKG ERROR,NATURES PROMISE,,,,,BOWL- SOUTHWESTERN QUINOA GRA,2031194,05/26/2019 1:05:18,"CUSTOMER COMMENTS:  Hello. I'm writing as I recently purchased the above product, and just tonight I opened the product to have as my mid-shift meal, and I discovered that what was inside was not the product I bought. It was some kind of quinoa bowl with broccoli, and did not have any beans, corn, tomatoes, cilantro or chili sauce. Basically it was an entirely different frozen bowl. I did take pictures of it, and unfortunately I did eat it as it was the only thing I packed for night shift and I can't easily get something else. I am writing to let you know that this occurred, but also to see if there might be some kind of compensation I could receive for this. Thank you for your time. 
"
GROC FF,FROZ OTH,GM,DIST GM 0,0000 GM,NTR INGR C,FOODHOLD,,,,8826709918,DOUGH BREAD,2033581,05/29/2019 15:11:16,Does it contain nut products.
GROC FF,FROZ VEG,GM,DIST GM 0,0000 GM,QL APPEAR,FOODHOLD,068826703686-GC,Np Broc Mini Spears 16Z,6/28/21,68826703686,BROCCOLI FLORETS FROZEN,2033487,05/29/2019 14:24:06,"store brand broccoli florets frozen, customer said the broccoli was yellow in color and tastes off
upc 688267036866
sell by date 6/28/21
362 18G0LY
"
GROC FF,FROZ VEG,SS,DIST 327,591,QL FOR OBJ,FOODHOLD,068826700931-SSNYM,Sb Cut Grn Bns 32Z,,68826700931,GREEN BEANS FROZEN,2034529,05/30/2019 13:27:12,Customer says there were lima beans in her green beans.
GROC FF,FROZ VEG,SS,DIST 311,2701,QL FOR OBJ,FOODHOLD,068826700931-SSNE,Sb Cut Grn Bns 32 Oz,BB 01/20/21 B90233,68826700931,BEENS GREEN CUT 32 OZ,2033699,05/29/2019 16:30:55,customer was calling because she just opened these green beans and she found snails in the bag with the green beans
GROC FF,FROZ VEG,SS,DIST SS 0,0000 SS,QL MOLDY,FOODHOLD,068826700940-SSNYM,Sb Crkl Cut Carrots 16Z,03202021 ADHUSA21ATS53252 23:25,68826700940,CORN,2034630,05/30/2019 14:11:24,I opened the 5 bags of this product and inside the bag there were black dots that looked like mold.
GROC FF,FROZ VEG,SS,DIST 316,416,QL OA DISSATISFIED,FOODHOLD,068826700962-SSNE,Sb Brc/Caul/Crts  32 Oz,,68826700962,VEGS BRC CAUL CRTS 32OZ,2032005,05/28/2019 11:22:08,"I just wanted to leave a message for the stop an shop company.. I went shopping last week and bought frozen broccoli and cauliflower and about 1/4 of it was little pieces of broccoli and cauliflower and the rest was the stock.. I took pictures and cant help but complain that i was very disappointed in the bag.
Dedham Massachusetts
Trishasmom@gmail.com
216 Madison street,dedham,ma 02026
That us great but I hope the product..will not be like this all the time..i do enjoy stop n shop but I need to be getting good quality..
22  1265485779. 6"
GROC FF,FROZ VEG,GF,DIST 95,337,QL OA DISSATISFIED,FOODHOLD,288826700676-GL,Sb Cut Corn 16 Oz,BB Feb 2021,288826700676,CORN CUT 16OZ,2036040,05/31/2019 15:52:13,customer just bought two bags of this corn to feed her pet rats and the corn in both bags is horrible. Most of it is pieces not kernels  and I have to spend my time picking threw these bags for enough to feed my rats. I am disabled and I can not take bags back. I want a refund and to make sure that no more bags are like this.
GROC FF,FROZ VEG,GF,DIST 95,117,QL SIZE,FOODHOLD,068826700679-GL,Sb Broc Caul 16Z,02-25-2021 15:13,68826700679,BROC CAUL 16Z,2035068,05/30/2019 18:35:55,"customer said when she opened bag veggies were all broken broccoli and cauliflower, tiny pieces.  on the broccoli only bag black spots were all over the broccoli florets."
GROC FF,FROZ VEG,SS,DIST SS 0,0000 SS,QL TASTE,FOODHOLD,068826700676-SSNE,Sb Cut Corn 16 Oz,,68826700676,CORN CUT FROZEN,2033184,05/29/2019 11:15:01,The corn was very dry and the kernels were very big. It was not sweet at all and really didn't taste very well.
GROC FOOD,BARS,SS,DIST 326,637,PKG ERROR,FOODHOLD,,,03/06/20,8826719239,GRONOLA FRUIT & NUT 12OZ,2035192,05/31/2019 8:26:27,customer bought 4 bags of this product. One was perfect  the other three had no fruit in them
GROC FOOD,BARS,SS,DIST 316,413,QL OA DISSATISFIED,NATURES PROMISE,,,hyt008-3212-1915,68826716774,BARS STRAWBERRY CEREAL,2035061,05/30/2019 18:44:19,"STORE REPORT: Customer claims Natures Promise organic cereal 6 bars sell by 11/4/2019 has a stale, dry, hard taste.

Product held in manager's office.

Fred Gerstenecker
Store Manager
617-333-0273"
GROC FOOD,BREADS,SS,DIST SS 0,0000 SS,ALLERGY PEANUT,FOODHOLD,,,,,PRETZELS SOFT,2035583,05/31/2019 11:57:54,Are these pretzels processed in a nut free facility and dairy free?
GROC FOOD,BREADS,SS,DIST 328,597,OOS REG,FOODHOLD,068826709419-SSNYM-D,Sb White Dnr Rl 12P 16Z,,68826709419,ROLLS ORIGINAL BROWN & SERVE ROLLS,2035793,05/31/2019 13:52:55,"CUSTOMER COMMENTS:  I bought these rolls in this store that is 5 minutes from my house on 5/1/19.
Have not seen them since. Can you tell me if other stores in my area would stock them? 
"
GROC FOOD,BREADS,SS,DIST 316,18,OOS SALE,FOODHOLD,,,,,ROLLS WHEAT,2035611,05/31/2019 12:08:40,"customer said sb rolls wheat hotdog and hamburg are out on sale 2/$5, when he asked about the rolls they had said to him that enough was not ordered for the sale and they would have to increase ordering. now he has to go to competition to buy the rolls for his cookout tomorrow."
GROC FOOD,BREADS,SS,DIST 315,20,OOS SALE,FOODHOLD,,,,,ROLLS WHEAT,2035616,05/31/2019 12:14:18,customer said rolls are 2/$4 and store was totally out and the person said rolls never came in and did not go in back to look to see if rolls have come in.
GROC FOOD,BREADS,SS,DIST 311,98,QL FOR OBJ,FOODHOLD,,,,68826713054,BREAD ROUND TOP WHITE,2036219,05/31/2019 18:24:47,"STORE REPORT: Customer stated bugs in bag that was sealed.  Purchased on 5/20 and used on that same date which is date of expiration. Customer given double her money back.

Anthony Nascimento
Store Manager"
GROC FOOD,BREADS,SS,DIST 316,446,QL MOLDY,UNKNOWN,,,,,ENGLISH MUFFINS,2031799,05/28/2019 9:41:45,"CUSTOMER COMMENTS:  I've lost count of all the times I've complained about this store. The fruit is always rotten, specifically the berries. Bread is moldy. My mother recently returned moldy English muffins and the girl wouldn't even look at my mother and acted as if she didn't care. Expired meats! I was looking for frozen pomegranate arils and returned a week later cause there was no frozen fruit at all and when I found the last bag it had been expired by 6 months! This was a bag that was put out within days of me originally looking! Nothing is ever stocked either. How many times do people have to complain before something is done? Do you just not care? You should be ashamed and embarrassed by the lack of care and professionalism this company has. 
"
GROC FOOD,BREADS,SS,DIST 337,819,QL MOLDY,FOODHOLD,,,,68826709678,BREAD LIGHT SEEDED RYE,2032026,05/28/2019 11:33:21,"CUSTOMER COMMENTS:  This item requires an investigation with Guiding Stars.  I enjoy this product but after having it for 3 days the bread molds.  This has happened several times.  I enjoy the rye but not the short shelf life.  I have spent $$ within the past month.  The question becomes is it occurring due to baking and immediate bagging of product which causes molding.   Please respond. 
"
GROC FOOD,BREADS,GF,DIST GF 0,0000 GF,QL TASTE,FOODHOLD,,,,68826712222,BREAD MULTIGRAIN THINS,2034342,05/30/2019 11:44:56,Customer states the taste of our bread is terrible.  Customer states its dry and breaks apart easily.
GROC FOOD,BREADS,SS,DIST 314,498,SEL POOR,FOODHOLD,,,,,"BREAD, NO SALT ADDED 100% WHOLE WHEAT",2031726,05/28/2019 8:34:28,"CUSTOMER COMMENTS:  Dear Sir/Ma'am:


Would you please supply more ""No Salt Added 100% Whole Wheat Bread"" (16 oz; Stop & Shop brand or Ahold brand) to the Stop & Shop store of 779 McGrath Highway, Somerville, MA 02145?


I went there on 5/16 and 5/22 and found only 3 loafs of that bread each time. I want to buy much more loafs of that bread at one visit.


Or, could you please tell me whether there is another better way I can buy much more loafs of that bread at one visit?


Thank you very much.


Sincerely,
Ying Wu, Ph.D.


Email: granduniverse@hotmail.com 
"
GROC FOOD,BREAKFAST,GF,DIST GF 0,0000 GF,DISC PRIV ITEM,FOODHOLD,,,,,CEREAL RICE PUFF,2031353,05/27/2019 9:35:10,"CUSTOMER COMMENTS:  I'm looking for Giant brand rice
Puff cereal.  I grew up in MD but moved to SC and my family brought me the cereal when they visited.  Now they can't find it in 21227, 28, 21061.  Can you tell me how to find it?  I would b willing to buy a case or however.  Thx! 
"
GROC FOOD,BREAKFAST,SS,DIST 316,44,DISC PRIV ITEM,FOODHOLD,068826707872-SSNE,Sb Crisper Crn Rc 12Oz,,68826707872,CEREAL-CRISPERS CORN AND RICE CEREA,2035345,05/31/2019 10:06:54,"CUSTOMER COMMENTS:  For years, I bought Crispers cereal at the Walpole, MA store. But in early 2019, this store stopped carrying this product.
Other local Stop & Shop stores (Norwood, Dedham) have stocked Crispers continuously.  I would like to see the Walpole store carry Crispers again.  Thank you for your consideration. 
"
GROC FOOD,BREAKFAST,SS,DIST SS 0,0000 SS,QL OA DISSATISFIED,NATURES PROMISE,,,,,CEREAL  ORGANIC,2035372,05/31/2019 10:17:07,I don't like the cereal - not many raisins - no sugar on the flakes - the bran flakes are very thick -  I wouldn't be buying it  again -
GROC FOOD,BREAKFAST,SS,DIST 326,662,QL TASTE,FOODHOLD,068826706451-SSNE,Sb Bt Sz Shrd Wht 16.4Z,,68826706451,CEREAL,2034024,05/30/2019 9:01:19,"CUSTOMER COMMENTS:  The last 3 boxes of your brand Shredded Wheat cereal (best if used by date Jan 14 20) I bought taste like smoke or something really weird. I had to throw 3 boxes away. Normally I really enjoy these. It seems like there was something wrong with machines that processed these. Please check into this so i know its safe for me to buy them again.     Thank You Stacie 
"
GROC FOOD,BREAKFAST,SS,DIST SS 0,0000 SS,QL TEXTURE,FOODHOLD,,,,68826700806,CEREAL FRUIT AND GRAIN,2034346,05/30/2019 11:52:45,"store brand cereal fruit and grain 

customer said the dates are hard like rocks"
GROC FOOD,BREAKFAST,GM,DIST 131,6468,QL TEXTURE,FOODHOLD,068826700806-GC,Sb F&Gcrel Rsndtspcn16z,Jan 19 20  G3 1K01249 06:35,68826700806,CEREAL FRUIT & GRAIN,2033650,05/29/2019 16:05:43,"""My wife and I found very hard objects in the mix; I feared those objects might break my teeth."""
GROC FOOD,BREAKFAST OTH,GM,DIST 134,6043,QL FEW MISS INGR,FOODHOLD,068826705300-GC,Sb Raisin Bran 18.7Z,,68826705300,"CEREAL, RAISIN BRAN",2031698,05/28/2019 8:02:21,"I had a complaint regarding the Giant brand Raisin Bran. It is not as good as it used to be, there was hardly any raisins. It just wasn't good. 688267053009. The date is Jan. 23, 2020 and above it is 2KB01289."
GROC FOOD,BREAKFAST OTH,GM,DIST 134,6043,QL OA DISSATISFIED,FOODHOLD,068826705300-GC,Sb Raisin Bran 18.7Z,2KB01289 Jan 23 2020,68826705300,"CEREAL, RAISIN BRAN",2031698,05/28/2019 8:02:21,"I had a complaint regarding the Giant brand Raisin Bran. It is not as good as it used to be, there was hardly any raisins. It just wasn't good. 688267053009. The date is Jan. 23, 2020 and above it is 2KB01289."
GROC FOOD,COFFEE,GM,DIST 131,6324,QL OA DISSATISFIED,FOODHOLD,,,,8826719360,COFFEE CARAMEL SWIRL,2035776,05/31/2019 13:36:32,"Purchased Caramel Swirl Coffee 8826719360 no Caramel taste or smell customer is very disappointed and would like her money back she is requesting a call back from the Manufacturer.
"
GROC FOOD,COFFEE,SS,DIST 331,887,QL TASTE,NATURES PROMISE,,,103119v1122c,,COFFEE WHOLE BEAN,2032774,05/29/2019 8:17:01,"np organic breakfast blend whole bean, it is definitely  vanilla coffee tastes just like vanilla  UPC 068826719392"
GROC FOOD,DRESS VIN OIL,SS,DIST SS 0,0000 SS,PKG LEAK,NATURES PROMISE,068826706134-GC,Np Org Olv Oil Spray 5Z,nov 10 18 5401731910L307:53,68826706134,,2031756,05/28/2019 9:00:40,"Bought NP Olive Oil Cooking spray and it started leaking. Put the can in a container and all of the oil leaked out, completely emptying the can.  It caused quite a mess."
GROC FOOD,DRESS VIN OIL,GM,DIST 135,6317,QL DEFECTIVE,FOODHOLD,,,,,OIL OLIVE EXTRA VIRGIN,2034944,05/30/2019 17:05:07,"CUSTOMER COMMENTS:  Unfortunately I cannot offer any praise or compliments. I am writing to inform you that your store has disappointment me once again. I'm trying to get dinner started and your giant brand extra virgin olive oil has a defective cap, that I cannot open. A brand new product, which is useless now. Sure, I suppose I could go back to the store but all I would find there are long lines and unmotivated employees. I am continuously  disappointment with the giant food stores, so much that I refuse to visit your deli and seafood departments because the service is so poor.  Additionally, the shelves are never stocked and the check out lines are never occupied by any employees. The one lonely line that may be open is typically wrapped around the store. I wish I didn't have to shop at the giant, but it is the closest food store in my area. I spend a great deal of money in your store each month, but cringe when I walk through the door. Please do something to improve your customer service. Hire people who want to work and staff your priority departments (deli,meats, seafood). Have an optimal number of check out lines open during prime shopping times (weekends,evenings).  Ensure your shelves are stocked, with products that you can stand by (not expired or defective ones). 
I hope this provides you with some guidance to help improve your company and stores. 
"
GROC FOOD,FRUIT CAN,SS,DIST SS 0,0000 SS,QL APPEAR,FOODHOLD,068826707611-SSNYM,Sb Cherry Stem Syrp10oz,,68826707611,CHERRIES MARCHIANO,2035033,05/30/2019 17:58:44,"Cherry had a ""bite"" taken out of it, as though a small animal had taken a bite."
GROC FOOD,FRUIT CAN,GM,DIST 143,6098,QL FOR OBJ,FOODHOLD,068826711480-GC,Sb Pitted Prunes 9Z,030720C,68826711480,PUNES,2035272,05/31/2019 9:07:33,There were pits left in these prunes.
GROC FOOD,HOT CEREAL,SS,DIST 333,566,QL TASTE,FOODHOLD,068826707047-SSNYM,Sb Inst Regular 11.8 Oz,,68826707047,,2032865,05/29/2019 8:46:17,customer bought 5  boxes of this cereal and they are all too salty. He tried to return to the store and they told him that he had to call the number on the box for a refund of 5 boxes
GROC FOOD,JUICES GROC,SS,DIST 331,830,DISC PRIV ITEM,NATURES PROMISE,068826706375-SSNYM,Np Ff Blk Chry Jce 32Ol,,68826706375,JUICE FREE FROM BLACK CHERRY 32OZ,2036869,06/01/2019 16:23:14,Customer stated that he loves this product and it is the only kind that helps his arthritis. He has not been able to find it and is willing to purchase a case of it if we could get it for him.
GROC FOOD,JUICES GROC,SS,DIST 331,830,DISC PRIV ITEM,NATURES PROMISE,068826706375-SSNYM,Np Ff Blk Chry Jce 32Ol,,68826706375,JUICE FREE FROM BLACK CHERRY 32OZ,2036869,06/01/2019 16:23:14,Called and left VM
GROC FOOD,JUICES GROC,SS,DIST 331,855,DISC PRIV ITEM,NATURES PROMISE,,,,,JUICE BLACK CHERRY,2036843,06/01/2019 16:01:56,"Looking for NP Black cherry juice 32 oz.  Used it for medicinal purpose and it was excellent.  What happened to it?

0688267063756

Shelf Stable"
GROC FOOD,JUICES GROC,GM,DIST 132,6511,DISC PRIV ITEM,NATURES PROMISE,,,,,BOXES JUICES LEMONADE,2031998,05/28/2019 11:18:50,"CUSTOMER COMMENTS:  Has this product been discontinued? I no longer see it on the shelves or a spot for where it once was.

Thank you! 
"
GROC FOOD,JUICES GROC,SS,DIST 321,618,OOS REG,NATURES PROMISE,,,,,JUICE BLACK CHERRY ORGANIC,2034454,05/30/2019 12:49:59,"the store has been out of the Nature's Promise organic 100 black cherry juice, when will it be in stock."
GROC FOOD,JUICES GROC,SS,DIST 311,723,QL PIT SEED,NATURES PROMISE,068826706374-SSNE,Np 100% Ff Pom Jce 32Ol,,68826706374,100% FF POM JCE 32OL,2032049,05/28/2019 11:37:43,"customer wants to know why all the pomegranate pits are at bottom of glass and makes her choke on them when she tries to drink product, all the black spots."
GROC FOOD,JUICES GROC,SS,DIST SS 0,0000 SS,QL TASTE,FOODHOLD,068826707985-SSNE,Sb Mnd Org Pjce 11Z,,68826707985,JUICE FL MANDARIN ORANGES  PACK,2033105,05/29/2019 10:24:08,"I know this is a product of China but you need to find out the oranges and pears are grown because they was not a well tasting item. Also, the water for the juice was not filtered. I am a health nut and I can taste these types of things."
